ISOLATE,collection_date,ST,cgT
2018-12393,2018-06-08,11,493
2018-12388,2018-06-08,11,2220
2018-12611,2018-06-12,11,2165
2018-12735,2018-06-12,11,2220
2018-12848,2018-06-13,1925,159
2018-12844,2018-06-14,11,287
2018-13249,2018-06-16,11,2219
2018-13123,2018-06-18,11,33
2018-13351,2018-06-21,11,33
2018-13794,2018-06-28,11,33
2018-13890,2018-06-28,11,282
2018-13917,2018-06-29,11,2165
2018-14027,2018-06-30,11,2220
2018-14091,2018-07-02,11,2219
2018-14170,2018-07-03,11,33
2018-14246,2018-07-05,11,2220
2018-14243,2018-07-06,11,2220
2018-14784,2018-07-12,11,318
2018-14773,2018-07-12,11,33
2018-14894,2018-07-14,11,279
2018-15088,2018-07-17,11,580
2018-15127,2018-07-14,11,33
2018-15107,2018-07-16,11,365
2018-15105,2018-07-13,11,136
2018-15225,2018-07-16,11,287
2018-15255,2018-07-18,11,240
2018-15253,2018-07-19,11,365
2018-15260,2018-07-17,11,33
2018-15470,2018-07-23,1925,159
2018-15468,2018-07-23,11,734
2018-15467,2018-07-23,11,2165
2018-15704,2018-07-25,11,1663
2018-15655,2018-07-24,11,2189
2018-16132,2018-07-29,11,2165
2018-16215,2018-08-01,11,136
2018-16212,2018-07-31,11,2219
2018-16193,2018-07-31,11,2165
2018-16187,2018-08-01,11,2125
2018-16288,2018-08-02,11,UC
2018-16285,2018-08-02,11,33
2018-16284,2018-07-30,1925,159
2018-16387,2018-07-30,1925,159
2018-16686,2018-08-08,11,33
2018-16674,2018-08-07,11,33
2018-16665,2018-08-09,11,2219
2018-16813,2018-08-08,11,33
2018-16975,2018-08-13,1925,159
2018-17011,2018-08-11,11,734
2018-17134,2018-08-15,3304,260
2018-17133,2018-08-13,11,2220
2018-17131,2018-08-14,11,2250
2018-17109,2018-08-13,11,2219
2018-17213,2018-08-15,11,33
2018-17166,2018-08-13,11,2218
2018-17165,2018-08-11,11,33
2018-17230,2018-08-16,1925,159
2018-17374,2018-08-20,11,2219
2018-17346,2018-08-18,11,33
2018-17345,2018-08-18,11,33
2018-17562,2018-08-21,11,2219
2018-17549,2018-08-21,11,33
2018-17677,2018-08-23,11,2132
2018-17578,2018-08-20,11,2132
2018-17693,2018-08-22,11,33
2018-18029,2018-08-22,11,2219
2018-18036,2018-07-26,11,189
2018-18220,2018-08-30,11,2219
2018-18139,2018-08-30,1925,159
2018-18134,2018-08-28,-,664
2018-18133,2018-08-27,11,392
2018-18300,2018-09-01,11,2218
2018-18289,2018-08-31,11,2218
2018-18286,2018-08-31,11,2219
2018-18271,2018-08-29,11,135
2018-18264,2018-09-01,11,33
2018-18344,2018-08-31,11,2220
2018-18584,2018-09-03,11,2220
2018-18217,2018-08-01,,-
2018-18792,2018-09-05,1925,159
2018-18736,2018-09-04,11,2219
2018-18735,2018-09-05,11,2219
2018-18858,2018-09-06,11,33
2018-18857,2018-09-07,11,392
2018-19114,2018-09-11,11,813
2018-19113,2018-09-12,11,33
2018-19112,2018-09-10,11,783
2018-19187,2018-09-12,-,664
2018-19357,2018-09-14,11,33
2018-19717,2018-09-18,11,2220
2018-19713,2018-09-22,11,33
2018-19850,2018-09-19,11,493
2018-20046,2018-09-22,11,UC
2018-20176,2018-09-25,11,UC
2018-20276,2018-09-27,-,664
2018-20265,2018-09-24,11,136
2018-20375,2018-09-29,11,33
2018-20459,2018-10-01,-,2219
2018-20422,2018-09-29,11,2203
2018-20592,2018-10-01,11,UC
2018-20529,2018-10-02,11,2220
2018-20713,2018-10-05,11,2165
2018-20712,2018-10-01,11,33
2018-20668,2018-10-02,11,1498
2018-20762,2018-10-05,11,1671
2018-20754,2018-10-05,11,2220
2018-20926,2018-10-04,11,2219
2018-21056,2018-10-06,1925,159
2018-21234,2018-10-10,11,33
2018-21233,2018-10-11,11,2189
2018-21232,2018-10-11,11,796
2018-21167,2018-10-07,11,33
2018-21337,2018-10-12,11,148
2018-21335,2018-10-09,11,2189
2018-21608,2018-10-14,11,365
2018-21437,2018-10-11,74,UC
2018-21831,2018-10-18,11,2090
2018-21830,2018-10-18,11,33
2018-21829,2018-10-17,11,33
2018-21827,2018-10-18,11,2203
2018-21782,2018-10-18,11,813
2018-21737,2018-10-15,11,2132
2018-21946,2018-10-17,11,2220
2018-22013,2018-10-17,11,2220
2018-22189,2018-10-25,11,2165
2018-22184,2018-10-24,11,2165
2018-22181,2018-10-23,11,2218
2018-22393,2018-10-27,11,33
2018-22392,2018-10-24,11,1671
2018-22386,2018-10-26,11,2189
2018-22385,2018-10-25,1925,159
2018-22487,2018-10-27,11,33
2018-22478,2018-10-28,11,33
2018-22661,2018-11-01,11,2219
2018-22709,2018-10-30,11,1667
2018-22731,2018-10-29,11,2203
2018-22867,2018-10-31,11,33
2018-23160,2018-11-05,11,493
2018-23159,2018-11-08,11,33
2018-23148,2018-11-08,11,2165
2018-23106,2018-11-08,11,2218
2018-23226,2018-11-10,11,2220
2018-23224,2018-11-08,11,2220
2018-23438,2018-11-11,11,33
2018-23433,2018-11-11,11,2220
2018-23997,2018-11-12,180,UC
2018-23996,2018-11-13,11,33
2018-23817,2018-11-12,11,2220
2018-23816,2018-11-12,11,2220
2018-24052,2018-11-14,11,33
2018-24091,2018-11-16,11,713
2018-24090,2018-11-15,11,189
2018-24088,2018-11-15,11,365
2018-24254,2018-11-16,11,284
2018-24189,2018-11-16,11,2220
2018-24392,2018-11-19,11,2165
2018-24576,2018-11-19,11,2165
2018-24575,2018-11-18,11,2165
2018-24570,2018-11-17,11,2220
2018-24715,2018-11-21,11,796
2018-25105,2018-11-27,11,287
2018-25136,2018-11-27,11,287
2018-25174,2018-11-27,11,33
2018-25255,2018-11-29,11,2125
2018-25326,2018-11-29,11,2220
2018-25913,2018-12-07,11,33
2018-25911,2018-12-07,11,33
2018-25863,2018-12-03,11,UC
2018-25862,2018-12-03,11,1671
2018-25999,2018-12-04,1925,159
2018-26345,2018-12-11,11,758
2018-26344,2018-12-11,11,33
2018-26849,2018-12-18,11,783
2018-26852,2018-12-16,11,2189
2019-00349,2019-01-02,11,2220
2019-00516,2019-01-04,11,287
2018-23251,2018-10-17,11,2130
2019-00586,2019-01-06,11,2165
2019-00798,2019-01-09,11,2220
2019-00810,2019-01-07,11,2220
2019-00920,,11,2220
2019-00921,,11,UC
2019-00923,2019-01-11,11,2219
2019-01039,2019-01-13,11,2130
2019-01124,2019-01-12,11,33
2019-01125,2019-01-15,11,637
2019-01191,2019-01-13,1925,159
2019-01206,2019-01-14,11,2220
2019-01207,2019-01-15,11,615
2019-01218,2019-01-15,11,189
2019-01464,2019-01-17,11,2189
2019-01461,2019-01-17,1925,159
2019-01432,2019-01-18,11,33
2019-01427,2019-01-18,11,2125
2019-01422,2019-01-19,11,1667
2019-01557,2019-01-21,11,2220
2019-01514,2019-01-19,11,2125
2019-01777,2019-01-22,1925,159
2019-01861,2019-01-25,11,2218
2019-02047,2019-01-27,11,2165
2019-02320,2019-01-30,11,148
2019-02292,2019-02-01,11,287
2019-02340,2019-01-31,3304,260
2019-02328,2019-01-29,1925,159
2019-02366,2019-02-01,1925,159
2019-02364,2019-02-02,11,1671
2019-02403,2019-01-31,11,279
2019-02404,2019-01-24,11,2220
2019-02443,2019-02-01,11,279
2019-02446,2019-01-30,3304,260
2019-02450,2019-01-30,3304,260
2019-02465,2019-02-01,11,2220
2019-02581,2019-02-03,11,2219
2019-02622,2019-02-05,11,33
2019-02731,2019-02-05,11,147
2019-02836,2019-02-08,11,287
2019-02851,2019-02-08,11,279
2019-03086,2019-02-11,11,279
2019-03198,2019-02-12,11,2165
2019-03220,2019-02-12,11,279
2019-03494,2019-02-14,11,279
2019-03797,2019-02-19,1925,159
2019-03799,2019-02-19,11,2220
2019-03963,2019-02-19,11,2125
2019-04371,2019-02-25,11,33
2019-04376,2019-02-25,11,2220
2019-04674,2019-02-28,11,287
2019-04766,2019-02-27,11,33
2019-05186,2019-03-05,11,287
2019-05270,2019-03-06,11,2220
2019-05287,2019-03-05,11,796
2019-05406,2019-03-07,11,189
2019-05407,2019-03-07,11,189
2019-05410,2019-03-06,3304,260
2019-05456,2019-03-06,11,33
2019-05542,2019-03-08,11,796
2019-05663,2019-03-09,11,2218
2019-05831,2019-03-12,11,33
2019-06087,2019-03-14,1925,159
2019-06229,2019-03-13,11,33
2019-06686,2019-03-21,11,2125
2019-06801,2019-03-22,11,33
2019-06800,2019-03-22,11,287
2019-06796,2019-03-19,11,287
2019-06815,2019-03-21,11,279
2019-07810,2019-03-26,11,287
2019-07930,2019-03-28,11,2165
2019-07895,2019-03-25,11,2165
2019-08137,2019-03-30,11,236
2019-08250,2019-03-30,11,279
2019-08487,2019-03-31,11,279
2019-08588,2019-04-01,11,279
2019-08662,2019-04-04,11,2203
2019-08665,2019-04-05,1925,159
2019-08674,2019-04-02,11,287
2019-09026,2019-04-08,11,2165
2019-09139,2019-04-06,11,2165
2019-09305,2019-04-10,11,2165
2019-09463,2019-04-13,11,279
2019-09744,2019-04-16,11,279
2019-09878,2019-04-18,11,287
2019-09949,2019-04-18,11,279
2019-09944,2019-04-18,11,279
2019-09937,2019-04-16,11,148
2019-09909,2019-04-16,11,58
2019-09903,2019-04-16,11,279
2019-09900,2019-04-18,11,279
2019-09898,2019-04-18,11,279
2019-10049,2019-04-20,11,287
2019-09969,2019-04-16,11,279
2019-09973,2019-04-17,11,2165
2019-09979,2019-04-17,11,279
2019-10038,2019-04-19,11,279
2019-10065,2019-04-20,11,279
2019-10068,2019-04-20,11,279
2019-10070,2019-04-18,11,279
2019-10071,2019-04-20,11,279
2019-10074,2019-04-20,11,279
2019-10161,2019-04-20,11,279
2019-10162,2019-04-22,11,279
2019-10184,2019-04-22,11,279
2019-10187,2019-04-22,11,279
2019-10188,2019-04-23,11,33
2019-10430,2019-04-27,11,279
2019-10275,2019-04-24,11,279
2019-10546,2019-04-26,11,2090
2019-10535,2019-04-26,11,33
2019-10633,2019-04-26,11,2218
2019-10698,2019-04-27,11,2219
2019-10782,2019-04-30,11,2165
2019-10905,2019-04-26,11,279
2019-10893,2019-04-29,11,279
2019-10891,2019-04-30,11,287
2019-10868,2019-04-27,11,279
2019-10866,2019-04-27,11,279
2019-10865,2019-04-28,11,279
2019-10864,2019-04-29,11,279
2019-11022,2019-05-02,11,136
2019-11044,2019-05-02,11,279
2019-11059,2019-05-03,11,2219
2019-11069,2019-05-01,11,2219
2019-11061,2019-05-02,11,287
2019-11174,2019-05-02,1925,159
2019-11444,2019-05-06,11,33
2019-11350,2019-05-05,11,279
2019-11646,2019-05-02,11,279
2019-11645,2019-05-06,11,279
2019-11639,2019-05-04,11,279
2019-11739,2019-05-09,11,279
2019-11910,2019-05-09,11,2165
2019-12523,2019-05-15,11,734
2019-12452,2019-05-14,11,782
2019-12664,2019-05-15,11,287
2019-12757,2019-05-18,11,615
2019-12139,,11,287
2019-13377,2019-05-24,1925,159
2019-13259,2019-05-21,11,287
2019-13257,2019-05-22,11,2165
2019-13165,2019-05-22,11,33
2019-13572,2019-05-24,11,2220
2019-13690,2019-05-25,11,2090
2019-13918,2019-05-29,1925,159
2019-13917,2019-05-29,1925,159
2019-14046,2019-05-31,11,33
2019-14260,2019-06-03,11,58
2019-14301,2019-05-31,11,2165
2019-14556,2019-06-06,11,2165
2019-14435,2019-06-05,11,2203
2019-15086,2019-06-15,11,287
2019-15201,2019-06-12,11,796
2019-15215,2019-06-14,11,287
2019-15264,2019-06-12,11,136
2019-15269,2019-06-15,11,2189
2019-15330,2019-06-13,11,279
2019-15498,2019-06-17,11,2203
2019-15500,2019-06-17,11,287
2019-15675,2019-06-20,11,UC
2019-15657,2019-06-17,11,2219
2019-15660,2019-06-17,11,33
2019-15721,2019-06-19,11,2220
2019-15919,2019-06-22,11,33
2019-16160,2019-06-24,11,33
2019-16197,2019-06-25,1925,159
2019-16603,2019-06-29,11,287
2019-16880,2019-06-29,11,2219
2019-16877,2019-07-02,11,2220
2019-16986,2019-07-04,11,1671
2019-17282,2019-07-08,11,287
2019-17283,2019-07-07,11,UC
2019-17403,2019-07-08,11,282
2019-17549,2019-07-10,11,2132
2019-17689,2019-07-09,1925,159
2019-17724,2019-07-08,11,282
2019-17712,2019-07-10,11,287
2019-18054,2019-07-11,1925,159
2019-18123,2019-07-11,11,33
2019-18127,2019-07-12,11,2219
2019-18365,2019-07-16,11,135
2019-18493,2019-07-17,11,2130
2019-18687,2019-07-17,11,33
2019-19149,2019-07-26,11,2220
2019-19146,2019-07-26,11,33
2019-19176,2019-07-25,11,2203
2019-19354,2019-07-26,183,600
2019-19383,2019-07-31,11,33
2019-19378,2019-07-26,11,33
2019-19479,2019-07-29,11,2189
2019-19595,2019-08-01,11,2220
2019-19664,2019-08-01,11,148
2019-19857,2019-08-02,11,2189
2019-20026,2019-08-07,11,33
2019-20052,2019-08-07,11,2220
2019-20181,2019-08-08,11,2165
2019-20485,2019-08-13,11,33
2019-20567,2019-08-14,11,493
2019-20716,2019-08-15,11,33
2019-20810,2019-08-17,11,33
2019-21118,2019-08-22,11,135
2019-21799,2019-08-30,11,2219
2019-22694,2019-09-03,11,365
2019-22748,2019-09-04,11,1671
2019-22962,2019-09-09,11,33
2019-23239,2019-09-11,11,2090
2019-23389,2019-09-13,11,148
2019-23938,2019-09-15,11,2189
2019-24052,2019-09-19,11,2125
2019-24514,2019-09-22,11,2189
2019-24515,2019-09-23,11,2189
2019-24528,2019-09-23,11,136
2019-24595,2019-09-24,11,2189
2019-24621,2019-09-23,11,2189
2019-24623,2019-09-21,11,258
2019-24664,2019-09-25,11,33
2019-24923,2019-09-25,11,2165
2019-25070,2019-09-30,11,189
2019-25065,2019-09-30,11,2189
2019-25038,2019-09-30,11,2218
2019-25035,2019-09-30,11,2218
2019-25147,2019-10-01,11,287
2019-25121,2019-09-30,11,287
2019-25120,2019-09-25,11,136
2019-25118,2019-09-26,11,2189
2019-25243,2019-10-02,11,318
2019-25246,2019-10-02,1925,159
2019-25320,2019-10-02,11,2165
2019-25568,2019-10-06,11,2165
2019-25331,2019-09-02,11,33
2019-25674,2019-10-07,11,33
2019-25816,2019-10-08,11,2165
2019-25861,2019-10-09,11,33
2019-26207,2019-10-12,1925,159
2019-26297,2019-10-14,1925,159
2019-26421,2019-10-15,11,148
2019-25970,2019-10-10,,-
2019-26476,2019-10-14,1925,159
2019-26528,2019-10-15,11,2189
2019-27185,2019-10-25,1925,159
2019-27200,2019-10-21,11,2165
2019-27570,2019-10-29,11,258
2019-27598,2019-10-29,11,2189
2019-27802,2019-11-01,11,33
2019-27865,2019-11-01,11,2125
2019-27970,2019-10-29,11,33
2019-28105,2019-11-04,11,2125
2019-28130,2019-10-31,11,2090
2019-28204,2019-11-06,11,33
2019-28432,2019-11-10,11,2165
2019-28531,2019-11-12,11,287
2019-28530,2019-11-12,11,2130
2019-28528,2019-11-11,11,33
2019-28877,2019-11-13,1925,159
2019-28948,2019-11-15,11,33
2019-29036,2019-11-17,11,33
2019-29125,2019-11-17,1925,159
2019-29215,2019-11-22,11,33
2019-29214,2019-11-21,1925,159
2019-29259,2019-11-22,11,33
2019-29327,2019-11-22,11,189
2019-29408,2019-11-24,11,2189
2019-29490,2019-11-25,11,33
2019-29593,2019-11-25,11,2090
2019-29818,2019-11-25,11,33
2019-29768,2019-11-25,11,365
2019-29764,2019-11-27,11,2189
2019-29763,2019-11-26,11,2189
2019-29720,2019-11-28,11,2189
2019-29846,2019-11-29,11,33
2019-29892,2019-11-15,11,33
2019-30251,2019-11-28,11,2189
2019-30301,2019-11-28,11,2189
2019-30368,2019-12-02,11,2218
2019-30517,2019-11-27,11,392
2019-30555,2019-12-05,11,287
2019-30560,2019-12-06,11,33
2019-30855,2019-12-06,11,2220
2019-30829,2019-12-06,1925,159
2019-31289,2019-12-11,11,33
2019-31462,2019-12-12,1925,159
2019-31570,2019-12-14,11,318
2019-31621,2019-12-14,11,33
2019-31698,2019-12-17,11,2165
2019-32128,2019-12-24,11,365
2019-32190,2019-12-21,11,623
2019-32193,2019-12-22,11,623
2020-00062,2019-12-29,11,2165
2020-00025,2019-12-30,11,353
2020-00550,2020-01-06,1925,159
2020-00622,2020-01-06,11,2220
2020-00561,2020-01-03,11,2125
2020-00772,2020-01-03,11,1671
2020-01112,2020-01-10,11,365
2020-01421,2020-01-14,11,135
2020-01610,2020-01-17,11,2165
2020-01854,2020-01-20,11,713
2020-02095,2020-01-23,11,2165
2020-02092,2020-01-23,11,33
2020-02102,2020-01-21,11,713
2020-02634,2020-01-28,1925,159
2020-03228,2020-02-06,11,2250
2020-03197,2020-02-02,1925,159
2020-03393,2020-02-06,11,33
2020-03401,2020-02-06,11,318
2020-03989,2020-02-08,11,2132
2020-04130,2020-02-11,11,33
2020-04800,2020-02-20,11,33
2020-05158,2020-02-20,11,365
2020-05217,2020-02-23,11,33
2020-05279,2020-01-10,11,365
2020-05882,2020-02-28,11,2090
2020-06611,2020-03-06,11,2189
2020-08959,2020-02-08,11,2132
2020-10427,2020-03-20,11,287
2020-10938,2020-03-28,11,58
2020-11506,2020-04-03,11,135
2020-12721,2020-04-24,11,147
2020-12709,2020-04-25,11,147
2020-13146,2020-05-01,11,279
2020-13162,2020-04-30,11,279
2020-13616,2020-05-05,11,279
2020-13726,2020-05-06,11,279
2020-13743,2020-05-06,11,365
2020-14085,2020-05-11,11,279
2020-14235,2020-05-16,11,279
2020-14438,2020-05-15,11,279
2020-14498,2020-05-19,11,279
2020-14714,2020-05-20,1925,159
2020-25091,2020-05-25,11,279
2020-25607,2020-05-30,11,279
2020-27399,2020-06-24,11,279
2020-60801,2020-07-12,11,2189
2020-60892,2020-07-14,11,2189
2020-97163,2020-08-25,11,462
2020-97727,2020-09-09,11,279
2020-102992,2020-09-24,1972,747
2020-106041,2020-09-26,11,279
2020-106165,2020-09-26,11,279
2020-111611,2020-10-27,11,135
2020-117013,2020-11-12,11,279
2020-121756,2020-12-23,11,2165
2020-121812,2020-12-23,11,284
2020-121811,2020-12-23,11,284
2021-001987,2021-01-05,11,135
2021-002349,2021-01-08,11,279
2021-002863,2021-01-17,11,1667
2021-007790,2021-02-22,11,279
2020-97326,,11,373
2021-042616,2021-06-22,11,279
2021-042617,2021-06-22,11,279
2021-046183,2021-07-05,11,58
2021-075750,2021-08-23,11,279
2021-117957,2021-10-07,11,284
2021-126779,2021-10-18,11,UC
2021-128438,2021-10-15,3304,260
2021-131967,2021-10-23,11,UC
2021-143490,2021-11-07,11,279
2021-146835,2021-11-05,11,284
2021-147266,2021-11-09,3304,260
2021-157077,2021-11-18,11,2125
2021-162380,2021-11-29,11,33
2021-163810,2021-11-30,11,33
2021-189416,2021-12-21,11,2219
2022-026204,2022-02-11,11,240
2022-029565,2022-02-14,11,33
2022-032636,2022-02-20,11,279
2022-041251,2022-02-23,11,2219
2022-051255,2022-03-31,11,2219
2022-072674,2022-05-10,11,1914
2022-074346,2022-05-10,11,287
2022-078749,2022-05-20,11,2220
2022-078747,2022-05-19,11,33
2022-079048,2022-05-19,11,2165
2022-090485,2022-06-08,1925,159
2022-093662,2022-06-13,11,2165
2022-094821,2022-06-20,11,2220
2022-097526,2022-06-28,11,33
2022-097968,2022-06-28,11,33
2022-099410,2022-06-28,11,287
2022-099845,2022-07-01,11,2220
2022-099984,2022-07-01,11,2220
2022-101080,2022-07-05,11,2220
2022-108289,2022-07-22,11,2090
2022-108694,2022-07-18,11,2189
2022-108692,2022-07-21,11,33
2022-111820,2022-07-28,11,2090
2022-112053,2022-08-02,1925,159
2022-112350,2022-08-04,11,2165
2022-114207,2022-08-08,11,2220
2022-115014,2022-08-10,11,2220
2022-116363,2022-08-17,1925,159
2022-116767,2022-08-20,11,2189
2022-117847,2022-08-20,180,UC
2022-118249,2022-08-23,11,367
2022-118543,2022-08-26,11,135
2022-118604,2022-08-25,11,135
2022-118761,2022-08-24,11,2090
2022-119237,2022-08-24,11,33
2022-119598,2022-09-01,11,2189
2022-119929,2022-08-30,11,135
2022-120828,2022-09-07,11,2203
2022-121561,2022-09-11,11,2219
2022-121856,2022-09-13,11,135
2022-123035,2022-09-24,11,33
2022-123536,2022-09-24,11,33
2022-123661,2022-09-24,11,33
2022-123806,2022-09-26,11,33
2022-124028,2022-09-29,11,2125
2022-124850,2022-09-29,11,33
2022-125125,2022-10-05,11,2090
2022-125341,2022-10-05,11,33
2022-125828,2022-10-10,11,2130
2022-126047,2022-10-10,11,135
2022-126166,2022-10-10,11,2189
2022-126568,2022-10-15,11,2090
2022-126985,2022-10-16,11,2220
2022-127014,2022-10-13,11,2220
2022-127258,2022-10-18,11,33
2022-127598,2022-10-19,11,2125
2022-127599,2022-10-18,11,2125
2022-128100,2022-10-24,11,33
2022-128236,2022-10-22,11,2220
2022-129692,2022-10-31,180,2049
2022-129859,2022-10-31,11,2220
2022-130560,2022-11-03,11,493
2022-131430,2022-11-08,11,2219
2022-132092,2022-11-11,11,2220
2022-132624,2022-11-11,11,33
2022-132682,2022-11-13,11,2130
2022-132883,2022-11-14,11,135
2022-134810,2022-11-25,11,33
2022-134811,2022-11-23,11,2220
2022-134888,2022-11-25,11,493
2022-132960,2022-11-17,,-
2022-132956,2022-11-18,,-
2022-136465,2022-11-29,11,2218
2022-136643,2022-11-30,11,2203
2022-136952,2022-12-02,11,33
2022-137359,2022-12-08,11,135
2022-137388,2022-12-06,11,135
2022-138140,2022-12-08,11,33
2022-138786,2022-12-13,11,365
2022-139619,2022-12-18,11,147
2022-140059,2022-12-23,11,282
2022-140061,2022-12-21,11,2220
2022-140522,2022-12-23,11,2125
2022-140485,2022-12-23,11,2090
2022-140484,2022-12-20,11,33
2023-000718,2022-12-30,11,2220
2023-001363,2023-01-06,180,411
2023-001701,2023-01-10,11,33
2023-001945,2023-01-09,11,33
2023-001987,2023-01-09,180,411
2023-002063,2023-01-12,11,135
2023-002563,2023-01-16,11,33
2023-002769,2023-01-14,3347,2114
2023-002771,2023-01-15,11,2128
2023-002883,2023-01-19,11,33
2023-002884,2023-01-16,11,2220
2023-002976,2023-01-16,11,2125
2023-002975,2023-01-20,11,33
2023-003116,2023-01-21,11,2220
2023-003114,2023-01-21,11,2220
2023-003170,2023-01-22,11,2220
2023-003348,2023-01-24,11,2125
2023-003569,2023-01-26,11,2090
2023-002770,2023-01-14,3347,2114
2023-003826,2023-01-26,11,33
2023-003925,2023-01-25,11,33
2023-004134,2023-01-20,11,2128
2023-004263,2023-02-01,11,2090
2023-004268,2023-01-30,11,33
2023-004284,2023-02-02,11,2130
2023-004936,2023-02-07,11,2125
2023-005562,2023-02-11,11,2090
2023-005715,2023-02-13,11,135
2023-005749,2023-02-10,-,279
2023-005821,2023-02-08,11,33
2023-005822,2023-02-14,11,2189
2023-005913,2023-02-14,11,33
2023-005930,2023-02-10,11,135
2023-006831,2023-02-20,11,2125
2023-007042,2023-02-21,11,33
2023-007349,2023-02-21,11,33
2023-007402,2023-02-27,1925,159
2023-007584,2023-02-28,11,2132
2023-007785,2023-02-28,11,2125
2023-007818,2023-03-03,11,2189
2023-008215,2023-03-06,11,287
2023-008335,2023-03-07,11,33
2023-009354,2023-03-17,11,2125
2023-009499,2023-03-10,11,33
2023-009507,2023-03-14,11,2219
2023-009880,2023-03-20,11,2203
2023-009889,2023-03-19,11,33
2023-010031,2023-03-13,11,462
2023-010070,2023-03-20,11,2128
2023-010113,2023-03-20,11,2125
2023-010446,2023-03-24,11,33
2023-010613,2023-03-27,11,2218
2023-010921,2023-03-28,11,33
2023-011003,2023-03-30,11,2090
2023-011220,2023-03-30,1925,159
2023-011640,2023-04-06,-,365
2023-011869,2023-04-05,11,2221
2023-011874,2023-04-05,11,33
2023-011877,2023-03-04,11,33
2023-011878,2023-04-06,11,2220
2023-012610,2023-04-12,11,33
2023-012617,2023-04-12,11,147
2023-013294,2023-04-18,11,33
2023-013625,2023-04-21,11,33
2023-013653,2023-04-19,11,33
2023-014247,2023-04-27,11,33
2023-014368,2023-04-25,11,287
2023-014427,2023-04-26,11,2090
2023-014434,2023-04-27,11,2220
2023-014665,2023-04-27,11,2220
2023-014941,2023-05-02,1925,159
2023-015393,2023-05-03,11,2165
2023-015410,2023-04-30,1925,159
2023-015414,2023-05-03,11,2189
2023-015697,2023-05-04,11,392
2023-015687,2023-05-04,11,2203
2023-015949,2023-05-07,11,33
2023-016133,2023-05-09,11,2255
2023-016134,2023-05-08,11,2255
2023-016144,2023-05-09,11,33
2023-016207,2023-05-11,11,2255
2020-102113,2020-09-17,11,279
2020-120137,2020-11-27,11,279
2020-120138,2020-11-27,11,279
2020-120139,2020-11-27,11,279
2020-120140,2020-11-27,11,279
2020-120141,2020-11-27,11,279
